Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Achraf Jemaa,Défenseur central,22 août 1985 (39),right,"1,85m",Tunisie,cs chebba,2024,/achraf-jemaa/profil/spieler/252962,252962,22,août,1985
Adem Namouchi,Milieu,- (-),,,Tunisie,cs chebba,2024,/adem-namouchi/profil/spieler/1111734,1111734,,,
Mohamed Adem Khamassi,Milieu,15 oct. 2000 (24),,,Tunisie,cs chebba,2024,/mohamed-adem-khamassi/profil/spieler/947033,947033,15,oct.,2000
Mohamed Mtiri,Milieu défensif,26 juil. 1998 (26),right,,Tunisie,cs chebba,2024,/mohamed-mtiri/profil/spieler/572137,572137,26,juil.,1998
Chedly Haj Mohamed,Milieu,25 août 1999 (25),,,Tunisie,cs chebba,2024,/chedly-haj-mohamed/profil/spieler/947031,947031,25,août,1999
Khaled Ben Oueda,Milieu,- (-),,,Tunisie,cs chebba,2024,/khaled-ben-oueda/profil/spieler/1110740,1110740,,,
Walid Sahli,Arrière droit,25 juin 1987 (37),,,Tunisie,cs chebba,2024,/walid-sahli/profil/spieler/700758,700758,25,juin,1987
Rayane Ben Toumia,Défense,6 juin 2004 (20),,,Tunisie,cs chebba,2024,/rayane-ben-toumia/profil/spieler/1107046,1107046,6,juin,2004
Ilyes Dridi,Arrière gauche,3 juin 1999 (25),left,,Tunisie,es hammam sousse,2024,/ilyes-dridi/profil/spieler/555489,555489,3,juin,1999
Fakhri Mkacher,Gardien de but,7 mai 1999 (25),,,Tunisie,cs chebba,2024,/fakhri-mkacher/profil/spieler/846689,846689,7,mai,1999
Rami Gabsi,Gardien de but,31 juil. 1999 (25),,"1,83m",Tunisie,es hammam sousse,2024,/rami-gabsi/profil/spieler/580337,580337,31,juil.,1999
Sedki Mlika,Gardien de but,26 nov. 2001 (23),,,Tunisie,es hammam sousse,2024,/sedki-mlika/profil/spieler/898362,898362,26,nov.,2001
Hazem Souissi,Gardien de but,1 mai 2003 (21),,,Tunisie,es hammam sousse,2024,/hazem-souissi/profil/spieler/1106778,1106778,1,mai,2003
Mohamed Aziz Sabri,Gardien de but,19 avr. 2004 (20),,,Tunisie,es hammam sousse,2024,/mohamed-aziz-sabri/profil/spieler/1151761,1151761,19,avr.,2004
Hamdi Zaouali,Défenseur central,4 août 1997 (27),right,"1,82m",Tunisie,es hammam sousse,2024,/hamdi-zaouali/profil/spieler/844565,844565,4,août,1997
Fahmi Maaouani,Milieu central,28 avr. 1991 (33),right,,Tunisie,cs chebba,2024,/fahmi-maaouani/profil/spieler/346649,346649,28,avr.,1991
Oussema Ben Maamer,Avant-centre,3 août 1994 (30),,,Tunisie,cs chebba,2024,/oussema-ben-maamer/profil/spieler/466026,466026,3,août,1994
Habib Lazzez,Avant-centre,24 janv. 1998 (27),right,"1,85m",Tunisie,cs chebba,2024,/habib-lazzez/profil/spieler/478360,478360,24,janv.,1998
Haythem Tej,Avant-centre,22 oct. 1998 (26),right,"1,91m",Tunisie,cs chebba,2024,/haythem-tej/profil/spieler/862483,862483,22,oct.,1998
Adem Bououni,Attaquant,- (-),,,Tunisie,union sportive de ben guerdane,2024,/adem-bououni/profil/spieler/1373354,1373354,,,
Adem Ben Ahmed,Avant-centre,13 sept. 2004 (20),,"1,78m",Tunisie,union sportive de ben guerdane,2024,/adem-ben-ahmed/marktwertverlauf/spieler/1003199,1003199,13,sept.,2004
Fakhreddine Ouji,Avant-centre,7 juil. 1998 (26),right,"1,85m",Tunisie,union sportive de ben guerdane,2024,/fakhreddine-ouji/marktwertverlauf/spieler/563879,563879,7,juil.,1998
Iyed Belwafi,Ailier droit,23 mai 2003 (21),right,"1,79m",Tunisie,union sportive de ben guerdane,2024,/iyed-belwafi/marktwertverlauf/spieler/994794,994794,23,mai,2003
Mohamed Nasr Hamed,Ailier droit,16 oct. 2003 (21),,,Tunisie,union sportive de ben guerdane,2024,/mohamed-nasr-hamed/marktwertverlauf/spieler/894370,894370,16,oct.,2003
